question_id,document_id,question_type,question,recall_at_3,answer_correctness,generated_answer,retrieved_chunk_1,retrieved_chunk_2,retrieved_chunk_3
1,0,single_passage,What is the capital and largest city of Mozambique?,1.0,1.0,Maputo.,"0:00 Capital and largest city Maputo 25°57′S 32°35′E Official languages Portuguese Recognised regional languages Tsonga, Makhuwa, Sena, Lomwe, Swahili Ethnic groups (2017)[1] 99.0% African[a] 0.8% Mestiço 0.1% White 0.1% other[b] Religion (2017)[2] 19.1% Islam 13.5% no religion 4.3% other religions[c] 1.2% unknown Demonym Mozambican Government Unitary dominant-party semi-presidential republic[3][4][5] under an authoritarian government[6][7] • President Daniel Chapo • Prime Minister Maria Benvinda Levy Legislature Assembly of the Republic Independence from Portugal • Portuguese Mozambique 1505–1975 • Mozambican War of Independence 25 September 1964 – 8 September 1974 • Granted independence 25 June 1975 • People's Republic of Mozambique 25 June 1975 - 30 November 1990 • Civil War 1977–1992 • Current constitution 21 December 2004 Area • Total 801,590 km2 (309,500 sq mi) (35th) • Water (%) 2.2 Population • 2024 estimate 34,881,007[8] (45th) and a sharp rise in economic inequality have been","Republic of Mozambique República de Moçambique (Portuguese) Flag Emblem Anthem: Pátria Amada (Portuguese) ""Beloved Homeland"" Mozambique Mozambique,[d] officially the Republic of Mozambique,[e] is a country in Southeast Africa bordered by the Indian Ocean to the east, Tanzania to the north, Malawi and Zambia to the northwest, Zimbabwe to the west, and Eswatini and South Africa to the south and southwest. The sovereign state is separated from the Comoros, Mayotte, and Madagascar through the Mozambique Channel to the east. The capital and largest city is Maputo. Between the 7th and 11th centuries, a series of Swahili port towns developed in the area, which contributed to the development of a distinct Swahili culture and dialect. In the late medieval period, these towns were frequented by traders from Somalia, Ethiopia, Egypt, Arabia, Persia, and India.[12] The voyage of Vasco da Gama in 1498 marked the arrival of the Portuguese, who began a gradual process of colonisation and settlement","Euro-Africans (mestiço people of mixed Bantu and Portuguese ancestry), and Indians.[15] Roughly 45,000 people of Indian descent reside in Mozambique.[118] During Portuguese colonial rule, a large minority of people of Portuguese descent lived permanently in almost all areas of the country,[84] and Mozambicans with Portuguese heritage at the time of independence numbered about 360,000.[119] Many of these left the country after independence from Portugal in 1975.[120] There are various estimates for the size of Mozambique's Chinese community, ranging from 7,000 to 12,000 as of 2007.[121][122] According to a 2011 survey, the total fertility rate was 5.9 children per woman, with 6.6 in rural areas and 4.5 in urban areas.[123] Largest cities or towns in Mozambique According to the 2017 Census[124] Rank Name Province Pop. Rank Name Province Pop. 1 Maputo Maputo 1,080,277 11 Gurúè Zambézia 210,000 2 Matola Maputo 1,032,197 12 Pemba Cabo Delgado 201,846 3 Nampula Nampula 663,212 13 Xai-Xai"
2,0,single_passage,What is the most popular sport in Mozambique?,1.0,1.0,Football (soccer) is the most popular sport in Mozambique.,"country.[151] Roller hockey is popular, and the best result for the national team was when they came in fourth at the 2011 FIRS Roller Hockey World Cup. The women's beach volleyball team finished 2nd at the 2018–2020 CAVB Beach Volleyball Continental Cup.[152] The Mozambique national cricket team represents the nation in international cricket. Outline of Mozambique List of Mozambique-related topics a. Includes Makhuwa, Tsonga, Lomwe, Sena, and other African ethnic groups. b. Includes those of Asian descent c. Includes Traditional faiths, Judaism, Hinduism, and Baha'i. d. /ˌmoʊzæmˈbiːk/ ⓘ; Portuguese: Moçambique, pronounced [musɐ̃ ˈbikɨ]; Chichewa: Mozambiki; Tsonga: Muzambhiki; Swahili: Msumbiji e. República de Moçambique, pronounced [ʁɛˈpuβlikɐ ðɨ musɐ̃ ˈbikɨ] 1. ""Censo 2017 Brochura dos Resultados Definitivos do IV RGPH – Nacional"" (https://web.arc hive.org/web/20190515170335/http://www.ine.gov.mz/iv-rgph-2017/mocambique/censo-201",Portuguese dishes commonly eaten in present-day Mozambique. Cuisine National holidays Countries portal Africa portal Date National holiday designation Notes 1 January Universal fraternity day New year 3 February Mozambican heroes day In tribute to Eduardo Mondlane 7 April Mozambican women day In tribute to Josina Machel 1 May International workers day Workers' Day 25 June National Independence day Independence proclamation in 1975 (from Portugal) 7 September Victory Day In tribute to the Lusaka Accord signed in 1974 25 September National Liberation Armed Forces Day In tribute to the start of the armed fight for national liberation 4 October Peace and Reconciliation In tribute to the General Peace Agreement signed in Rome in 1992 25 December Family Day Christians also celebrate Christmas Football (Portuguese: futebol) is the most popular sport in Mozambique. The national team is the Mozambique national football team. Track and field and basketball are also avidly followed in the,"established shortly after Mozambique's independence.[150] The television stations watched by Mozambicans are STV, TIM, and TVM. Through cable and satellite, viewers can access tens of other African, Asian, Brazilian, and European channels. With a nearly 500-year presence in the country, the Portuguese have greatly influenced Mozambique's cuisine. Staples and crops such as cassava (a starchy root of Brazilian origin) and cashew nuts (also of Brazilian origin, though Mozambique was once the largest producer of these nuts), and pãozinho (pronounced [pɐ̃wˈzĩɲu], Portuguese-style buns), were brought in by the Portuguese. The use of spices and seasonings such as bay leaves, chili peppers, fresh coriander, garlic, onions, paprika, red sweet peppers, and wine were introduced by the Portuguese, as were maize, potatoes, rice, and sugarcane. espetada, the popular inteiro com piripiri (whole chicken in piri-piri sauce), prego (steak roll), pudim (pudding), and rissóis (battered shrimp) are all"
3,1,single_passage,What are the two regions whose union formed the United Republic of Tanzania in 1964?,0.0,1.0,Tanganyika and Zanzibar.,"Zanzibar.[65][66] On 29 October of the same year, the country was renamed the United Republic of Tanzania (""Tan"" comes from Tanganyika and ""Zan"" from Zanzibar).[17] The union of the two hitherto separate regions was controversial among many Zanzibaris (even those sympathetic to the revolution) but was accepted by both the Nyerere government and the Revolutionary Government of Zanzibar owing to shared political values and goals.[67] Following Tanganyika's independence and unification with Zanzibar leading to the state of Tanzania, President Nyerere emphasised a need to construct a national identity for the citizens of the new country. To achieve this, Nyerere provided what is regarded as one of the most successful cases of ethnic repression and identity transformation in Africa.[68] With more than 130 languages spoken within its territory, Tanzania is one of the most ethnically diverse countries in Africa. Despite this obstacle, ethnic divisions remained rare in Tanzania when compared","United Republic of Tanzania Jamhuri ya Muungano wa Tanzania (Swahili) Flag Coat of arms Motto: ""Uhuru na Umoja"" ""Freedom and Unity"" Anthem: ""Mungu ibariki Afrika"" ""God bless Africa""[1] Capital Dodoma 6°10′S 35°44′E Tanzania Tanzania,[c] officially the United Republic of Tanzania,[d] is a country in East Africa within the African Great Lakes region. It is bordered by Uganda to the northwest, Kenya to the northeast, the Indian Ocean to the east, Mozambique and Malawi to the south, Zambia to the southwest, and Rwanda, Burundi, and the Democratic Republic of the Congo to the west. According to a 2024 estimate, Tanzania has a population of around 67.5 million,[7] making it the most populous African country located entirely south of the equator. Many important hominid fossils have been found in Tanzania. In the Stone and Bronze Age, prehistoric migrations into Tanzania included Southern Cushitic speakers similar to modern day Iraqw people, who moved south from present-day Ethiopia;[15]","United Nations, Group of 77, African Union, East African Community, and the Non-Aligned Movement. The name ""Tanzania"" was created as a clipped compound of the names of the two states that unified to create the country: Tanganyika and Zanzibar in 1964.[30] When Zanzibar and Tanganyika were uniting, national newspaper The Standard ran a contest for a new name, which was won by Mohammed Iqbal Dar. Iqbal claimed that he formulated the name by taking ""Tan"" and ""zan"" from the uniting states, ""i"" from his own name, and adding ""a"" as a reference to Ahmadiyya.[31] The name Tanganyika derives from the Swahili words tanga ""sail"" and nyika ""uninhabited plain, wilderness"", creating the phrase ""sail in the wilderness"". It is sometimes understood as a reference to Lake Tanganyika.[32] The name ""Zanzibar"" derives from Zanj, the name of a local people, and Arabic barr ""coast"" or ""shore.""[33] Zanj comes from Al-Zanjia, the Arabic name for the East African coast. This word is related to Azania, the Greek"
4,1,single_passage,What is Tanzania's national animal?,1.0,1.0,The Masai giraffe is Tanzania’s national animal.,"Tanzania, Gombe Stream National Park was the site of Jane Goodall's study of chimpanzee behaviour, which started in 1960.[97][98] Tanzania is highly biodiverse and contains a wide variety of animal habitats.[99] On Tanzania's Serengeti plain, white-bearded wildebeest (Connochaetes taurinus mearnsi), other bovids and zebra[100] participate in a large-scale annual migration. Tanzania is home to about 130 amphibian and over 275 reptile species, many of them strictly Climate Wildlife and conservation The Masai giraffe is Tanzania's national animal. endemic and included in the International Union for Conservation of Nature's Red Lists of countries.[101] Tanzania has the largest lion population in the world.[102] Tanzania had a 2019 Forest Landscape Integrity Index mean score of 7.13/10, ranking it 54th globally out of 172 countries.[103] Tanzania is a one-party dominant state with the Chama Cha Mapinduzi (CCM) party in power. From its formation until 1992, it was the only legally permitted","Tanzania National Parks. p. 11 102. Arusha, Edward Qorro in (12 August 2019). ""Africa: Tanzania Has Largest Number of Lions in Africa,New Report Says"" (https://allafrica.com/stories/201908120146.html). allAfrica.com. 103. Grantham, H. S.; et al. (2020). ""Anthropogenic modification of forests means only 40% of remainingforests have high ecosystem integrity – Supplementary Material"" (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7723057). Nature Communications. 11 (1): 5978. Bibcode:2020NatCo..11.5978G (https://ui.adsabs.harvard.edu/abs/2020NatCo..11.5978G). doi:10.1038/s41467-020-19493-3 (https://doi.org/10.1038%2Fs41467-020-19493-3). ISSN 2041-1723 (https://search.worldcat.org/issn/2041-1723). PMC 7723057 (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7723057). PMID 33293507 (https://pubmed.ncbi.nlm.nih.gov/33293507). 104. ""Constitution of the United Republic of Tanzania"" (https://web.archive.org/web/20101217023916/http://www.judiciary.go.tz/downloads/constitution.pdf) (PDF). Judiciary","United Republic of Tanzania Jamhuri ya Muungano wa Tanzania (Swahili) Flag Coat of arms Motto: ""Uhuru na Umoja"" ""Freedom and Unity"" Anthem: ""Mungu ibariki Afrika"" ""God bless Africa""[1] Capital Dodoma 6°10′S 35°44′E Tanzania Tanzania,[c] officially the United Republic of Tanzania,[d] is a country in East Africa within the African Great Lakes region. It is bordered by Uganda to the northwest, Kenya to the northeast, the Indian Ocean to the east, Mozambique and Malawi to the south, Zambia to the southwest, and Rwanda, Burundi, and the Democratic Republic of the Congo to the west. According to a 2024 estimate, Tanzania has a population of around 67.5 million,[7] making it the most populous African country located entirely south of the equator. Many important hominid fossils have been found in Tanzania. In the Stone and Bronze Age, prehistoric migrations into Tanzania included Southern Cushitic speakers similar to modern day Iraqw people, who moved south from present-day Ethiopia;[15]"
5,2,single_passage,What are the three capitals of South Africa and their respective roles?,1.0,1.0,"South Africa has three capitals:

- **Pretoria** – the **executive/administrative capital**, home to the President, Cabinet, and Union Buildings.
- **Cape Town** – the **legislative capital**, where Parliament, including the National Assembly and National Council of Provinces, meets.
- **Bloemfontein** – the **judicial capital**, home to the Supreme Court of Appeal.","the executive capital of South Africa, hosting the Union Buildings and the offices of the President and Cabinet.[2] b. Cape Town is the legislative capital, home to the Parliament of South Africa, including the National Assembly and the National Council of Provinces.[2] c. Bloemfontein serves as the judicial capital, hosting the Supreme Court of Appeal, the highest court for non-constitutional matters in South Africa.[2] d. Cape Agulhas is the geographical southernmost point of the African continent, marking the southern extremity of the Republic of South Africa.[14][15] 1. Constitution Eighteenth Amendment Act (47665) (in English and Tswana). Vol. 697. Parliament of the Republic of South Africa. 27 July 2023. 2. ""South Africa's Three Capital Cities"" (https://www.gov.za/about-sa/south-africas-three-capital -cities). Government of South Africa. Retrieved 19 July 2025. 3. ""South Africa at a glance"" (https://www.gov.za/about-sa/south-africa-glance). Government of South Africa. Archived","After the election, the ANC formed a Government of National Unity with the DA and several smaller parties.[159] South Africa has no legally defined capital city. The fourth chapter of the constitution states ""The seat of Parliament is Cape Town, but an Act of Parliament enacted in accordance with section 76(1) and (5) may determine that the seat of Parliament is elsewhere.""[160] The country's three branches of government are split over different cities. Cape Town, as the seat of Parliament, is the legislative capital; Pretoria, as the seat of the president and cabinet, is the administrative capital; and Bloemfontein is the seat of the Supreme Court of Appeal, and is regarded as the judicial capital;[20] although the highest court, the Constitutional Court of South Africa has been based in Johannesburg since 1994. Most foreign embassies are located in Pretoria. Since 2004, South Africa has had many thousands of popular protests,[161] some violent, making it, according to one academic,","established the first European settlement at Table Bay, Dutch Cape Colony. Its invasion in 1795, and the Battle of Blaauwberg in 1806 led to British occupation. The Mfecane, a period of significant upheaval, led to the formation of various African kingdoms, including the Zulu Kingdom. The region was further colonised, and the Mineral Revolution saw a shift towards industrialisation and urbanisation. Following the Second Boer War, the Union of South Africa was created in 1910 after the amalgamation of the Cape, Natal, Transvaal, and Orange River colonies, 0:000:00 / 0:00/ 0:00 Capital Pretoria (executive)[a][3] Cape Town (legislative)[b][3] Bloemfontein (judicial)[c][3] Largest city Johannesburg[4] Official languages 12 languages[5][6] Afrikaans English Ndebele Sepedi Sesotho Setswana South African Sign Language Swazi Tshivenda Xhosa Xitsonga Zulu Languages with special status[5] becoming a republic after the 1961 referendum. The multi-racial Cape Qualified Franchise in the Cape was"
6,2,single_passage,How many provinces does South Africa have?,1.0,1.0,South Africa has **nine provinces**.,"Republic of South Africa (in other official languages)[1] Afrikaans Republiek van Suid-Afrika Southern Ndebele iRiphabliki yeSewula Afrika Northern Sotho Repabliki ya Afrika-Borwa Swazi iRiphabhlikhi yoMzantsi Afrika Sotho Rephaboliki ya Afrika Borwa Tswana Rephaboliki ya Aforika Borwa Tsonga Riphabliki ya Afrika Dzonga Venda Riphabuḽiki ya Afurika Tshipembe Xhosa IRiphablikhi yoMzantsi- Afrika Zulu iRiphabhuliki yaseNingizimu Afrika Flag Coat of arms Motto: ""ǃke e꞉ ǀxarra ǁke"" (ǀXam) ""Unity in diversity"" Anthem: ""National Anthem of South Africa"" South Africa South Africa, officially the Republic of South Africa (RSA), is the southernmost country in Africa.[d] The country consists of nine provinces, and is bounded to the south by 2,798 kilometres (1,739 miles) of coastline that stretches along the South Atlantic and Indian Ocean;[16][17][18] to the north by the neighbouring countries of Namibia, Botswana, and Zimbabwe; and to the east and northeast by Mozambique and Eswatini. South","Democratic Alliance.[121] South Africa is in southern Africa, with a coastline that stretches more than 2,500 km (1,553 mi) and along two oceans—the South Atlantic and the Indian Ocean. At 1,219,912 km2 (471,011 sq mi) in area,[122] South Africa is the 24th-largest country in the world.[123] Excluding the Prince Edward Islands, the country lies between latitudes 22° and 35°S, and longitudes 16° and 33°E. The interior of South Africa consists of a large, and in most places almost flat, plateau with an altitude of between 1,000 m (3,300 ft) and 2,100 m (6,900 ft). It is highest in the east and slopes gently downwards towards the west and north, and slightly to the south and south-west.[124] This plateau is surrounded by the Great Escarpment[125] whose eastern, and highest, stretch is known as the Drakensberg.[126] Mafadi in the Drakensberg is the highest peak in the country at 3,450 m (11,320 ft) above sea level. The KwaZulu- Natal–Lesotho international border is formed by the highest","elects a premier as head of government, and the premier appoints an Executive Council as a provincial cabinet. The powers of provincial governments are limited to topics listed in the constitution; these topics include such fields as health, education, public housing and transport. The provinces are in turn divided into 52 districts: eight metropolitan and 44 district municipalities. The district municipalities are further subdivided into 205 local municipalities. The metropolitan municipalities, which govern the largest urban agglomerations, perform the functions of both district and local municipalities. Province Provincial capital Largest city Area (km2)[169] Population (2022)[8] Eastern Cape Bhisho Gqeberha 168,966 7,230,204 Free State Bloemfontein Bloemfontein 129,825 2,964,412 Gauteng Johannesburg Johannesburg 18,178 15,099,422 KwaZulu-Natal Pietermaritzburg Durban 94,361 12,423,907 Limpopo Polokwane Polokwane 125,754 6,572,720 Mpumalanga Nelspruit Nelspruit 76,495 5,143,324"
7,3,single_passage,When did Eswatini regain full independence?,1.0,1.0,Eswatini regained full independence on **6 September 1968**.,"native form). The Swazis established their kingdom in the mid-18th century under the leadership of Ngwane III.[15] The country and the Swazi take their names from Mswati II, the 19th-century king under whose rule the country was expanded and unified. Its boundaries were drawn up in 1881 in the midst of the European Scramble for Africa.[16] After the Second Boer War, the kingdom, under the name of Swaziland, was a British high commission territory from 1903 until it regained its full independence on 6 September 1968.[17] In April 2018, the king changed the official name from Kingdom of Swaziland to Kingdom of Eswatini, the name commonly used in the Swazi language.[14][18][19] Eswatini is a developing country that is classified as having a lower-middle income economy. As a member of the Southern African Customs Union and the Common Market for Eastern and Southern Africa, its main local trading partner is South Africa; to ensure economic stability, Eswatini's currency, the lilangeni, is","more reforms. Public protests by civic organisations and trade unions became more common. Starting in 2012, improvements in SACU receipts eased the fiscal pressure on the Swazi government. A new parliament, the second since the promulgation of the constitution, was elected in 2013. The king then reappointed Sibusiso Dlamini as prime minister for the third time.[59] On 19 April 2018, Mswati III announced that the Kingdom of Swaziland had been renamed as the Kingdom of Eswatini, reflecting the extant Swazi name for the state eSwatini, to mark the 50th anniversary of Swazi independence. The name Eswatini means ""land of the Swazis"" in the Swazi language and was partially intended to prevent confusion with the similarly named Switzerland.[13][14] Eswatini workers began anti-government protests against low salaries in September 2018. They went on a three-day strike organised by the Trade Union Congress of Eswatini that resulted in widespread disruption.[60] In June 2021, pro-democracy","pegged to the South African rand. Eswatini's major overseas trading partners are the United States[20] and 0:000:00 / 0:00/ 0:00 Capital Mbabane (executive) Lobamba (legislative) 26°30′S 31°30′E Largest city Mbabane Official languages Swazi · English Ethnic groups (2017) 97% Emaswati 3% others Religion (2017) 7.4% no religion 2.5% traditional faiths 0.8% others[1][2] Demonym Swazi[a] Government Unitary diarchic[3] absolute monarchy the European Union.[21] The majority of the country's employment is provided by its agricultural and manufacturing sectors. Eswatini is a member of the Southern African Development Community, the African Union, the Commonwealth of Nations, and the United Nations. Eswatini's government is an absolute monarchy, the last of its kind in Africa.[22] The country has been ruled by King Mswati III since 1986.[23][24] Elections are held every five years to determine the House of Assembly and the Senate majority, but political parties are prohibited from running.[25]"
8,3,single_passage,What are Eswatini's two official languages?,0.0,1.0,Eswatini’s two official languages are **siSwati (Swazi)** and **English**.,"official languages of South Africa. English is the medium of communication in schools, conducting business, and the press.[125] About 76,000 people in the country speak Zulu.[126] Tsonga, which is spoken by many people throughout the region is spoken by about 19,000 people in Eswatini. Afrikaans is also spoken by some residents of Afrikaner descent. Portuguese has been introduced as a third language in the schools because of the large community of Portuguese speakers from Mozambique or Northern and Central Portugal.[127] Eighty-three percent of the total population adheres to Christianity in Eswatini. Anglican, Protestant and indigenous African churches, including African Zionist (37.6%), constitute the majority of Christians, followed by Catholicism at 3.7% of the population. On 18 July 2012, Ellinah Wamukoya was elected Anglican Bishop of Swaziland, becoming the first woman to be a bishop in Africa and serving in that position until her death in 2021.[128] Fifteen percent of the","Lubombo 6,152 9 Piggs Peak Hhohho 5,750 10 Lobamba Hhohho 4,557 The majority of Eswatini's population is ethnically Swazi, mixed with a small number of Zulu and White Africans, mostly people of British and Afrikaner descent. Traditionally Swazi have been subsistence farmers and herders, but most now mix such activities with work in the growing urban formal economy and in government. Some Swazi work in the mines in South Africa.[121] Eswatini also received Portuguese settlers and African refugees from Mozambique. Christianity in Eswatini is sometimes Demographics Largest cities mixed with traditional beliefs and practices. Many traditionalists believe that most Swazi ascribe a special spiritual role to the monarch.[122] SiSwati[123] (also known as Swati, Swazi or Siswati) is a Bantu language of the Nguni group, spoken in Eswatini and South Africa. It has 2.5 million speakers and is taught in schools. It is an official language of Eswatini, along with English,[124] and one of the","Kingdom of Eswatini Umbuso weSwatini (Swazi) Flag Coat of arms Motto: ""Siyinqaba"" (Swazi) ""We are the fortress"" Anthem: ""Nkulunkulu Mnikati wetibusiso temaSwati"" ""Oh God, Giver of Blessings to the Swazi"" Eswatini Eswatini,[b] formally the Kingdom of Eswatini (historically called KaNgwane[12]), also known by its former official names Swaziland[c] and the Kingdom of Swaziland,[13][14] is a landlocked country in Southern Africa. It is bordered by South Africa on all sides except the east, where it shares a border with Mozambique. At no more than 200 km (120 mi) north to south and 130 km (81 mi) east to west, Eswatini is the second smallest country in continental Africa. However, its climate and topography are diverse, ranging from a cool and mountainous highveld to a hot and dry lowveld. The executive capital and largest city is Mbabane, and the legislative and second capital is Lobamba. The population is composed primarily of ethnic Swazis. The prevalent language is Swazi (siSwati in"
9,4,single_passage,What is the capital and largest city of Lesotho?,1.0,1.0,Maseru,"Kingdom of Lesotho Naha ea Lesotho (Sotho) Flag Coat of arms Motto: ""Khotso, Pula, Nala"" ""Peace, Rain, Prosperity"" Anthem: Lesotho fatše la bo-ntat'a rona (English: ""Lesotho, Land of Our Fathers"") Capital and largest city Maseru 29°18′54″S 27°29′13″E Official languages Sesotho · English Ethnic groups (2020) 99.7% Basotho 0.3% others Religion (2020)[1] 92.1% Christianity 6.6% traditional faiths 1.0% no religion 0.3% others Demonyms Mosotho (singular) Basotho (plural) Lesotho Lesotho (/lɪˈsuːtuː/ ⓘ lih-SOO-too;[6][7] Sotho pronunciation: [lɪˈsʊːtʰʊ]),[a] officially the Kingdom of Lesotho[b], is a landlocked country in Southern Africa. Surrounded by South Africa, it is the largest of the three sovereign enclaves. Lesotho is located in the Maloti Mountains, with the highest peak in southern Africa.[9] It has an area of over 30,000 km2 (11,600 mi2), with a population of about 2.3 million. Its capital and largest city is Maseru. Lesotho was formed in 1824 by King Moshoeshoe I. Continuous","Africa (81% as of 2021). Lesotho is a member of the United Nations, the Non-Aligned Movement, the Commonwealth of Nations, the African Union, and the Southern African Development Community. 0:000:00 / 0:00/ 0:00 Location of Lesotho (dark green) History Government Unitary parliamentary constitutional monarchy • Monarch Letsie III • Prime Minister Sam Matekane Legislature Parliament • Upper house Senate • Lower house National Assembly Independence from the United Kingdom • Basutoland 18 March 1884 • Independence declared 4 October 1966 Area • Total 30,355 km2 (11,720 sq mi) (137th) • Water (%) negligible Population • 2024 estimate 2,116,427[2] (145th) • Density 68.1/km2 (176.4/sq mi) (138th) GDP (PPP) 2023 estimate • Total $6.915 billion[3] (168th) • Per capita $3,234[3] (164th) GDP (nominal) 2023 estimate • Total $2.373 billion[3] (184th) • Per capita $1,110[3] (169th) Gini (2017) 44.9[4] medium inequality HDI (2023) 0.550[5] medium (167th) Currency Lesotho loti (LSL) South African rand","as a camptown.[56] Berea Butha-Buthe Leribe Mafeteng Maseru Mohale's Hoek Mokhotlong Qacha's Nek Quthing Thaba-Tseka The districts are subdivided into 80 constituencies, which consist of 129 local community councils.[57] Districts Topographic map The Afriski resort in the Maloti Mountains Koppen climate (1991–2020 averages) Lesotho covers 30,355 km2 (11,720 sq mi). It is the only independent state in the world that lies entirely above 1,000 metres (3,281 ft) in elevation. Its lowest point of 1,400 metres (4,593 ft) is thus the highest lowest point of any country in the world. Over 80% of the country lies above 1,800 metres (5,906 ft). Lesotho is the southernmost landlocked country in the world. It is the largest of the world's three independent states completely surrounded by the territory of another country, with Vatican City and San Marino being the other two. It is the only such state outside the Italian peninsula and Europe, as well as the only one that is not a microstate. Lesotho"
10,4,single_passage,What is Lesotho's official currency?,1.0,1.0,"Lesotho’s official currency is the **Lesotho loti (LSL)**, plural **maloti**. The **South African rand** is also accepted and circulates at par with the loti.","States, one of their export destinations. Reduced diamond mining and exports, including a drop in the price of diamonds and a drop in SACU revenues due to the economic slowdown in the South African economy contributed to the crisis. A reduction in worker remittances due to the ""weakening"" of the South African economy, contraction of the mining sector, and related job losses in South Africa contributed to Lesotho's GDP growth slowing to 0.9% in 2009.[65] Lesotho was ranked 132nd in the Global Innovation Index in 2025.[77][78] The official currency is the loti (plural: maloti) which can be used interchangeably with the South African rand. The loti is at par with the rand. Lesotho, Eswatini, Namibia, and South Africa form a common currency and exchange control area known as the Common Monetary Area (CMA). The second Trump administration (since 20 January 2025) imposed tariffs on 2 April 2025. The US government classified Lesotho as one of the countries that allegedly hindered trade with","Africa (81% as of 2021). Lesotho is a member of the United Nations, the Non-Aligned Movement, the Commonwealth of Nations, the African Union, and the Southern African Development Community. 0:000:00 / 0:00/ 0:00 Location of Lesotho (dark green) History Government Unitary parliamentary constitutional monarchy • Monarch Letsie III • Prime Minister Sam Matekane Legislature Parliament • Upper house Senate • Lower house National Assembly Independence from the United Kingdom • Basutoland 18 March 1884 • Independence declared 4 October 1966 Area • Total 30,355 km2 (11,720 sq mi) (137th) • Water (%) negligible Population • 2024 estimate 2,116,427[2] (145th) • Density 68.1/km2 (176.4/sq mi) (138th) GDP (PPP) 2023 estimate • Total $6.915 billion[3] (168th) • Per capita $3,234[3] (164th) GDP (nominal) 2023 estimate • Total $2.373 billion[3] (184th) • Per capita $1,110[3] (169th) Gini (2017) 44.9[4] medium inequality HDI (2023) 0.550[5] medium (167th) Currency Lesotho loti (LSL) South African rand","Kingdom of Lesotho Naha ea Lesotho (Sotho) Flag Coat of arms Motto: ""Khotso, Pula, Nala"" ""Peace, Rain, Prosperity"" Anthem: Lesotho fatše la bo-ntat'a rona (English: ""Lesotho, Land of Our Fathers"") Capital and largest city Maseru 29°18′54″S 27°29′13″E Official languages Sesotho · English Ethnic groups (2020) 99.7% Basotho 0.3% others Religion (2020)[1] 92.1% Christianity 6.6% traditional faiths 1.0% no religion 0.3% others Demonyms Mosotho (singular) Basotho (plural) Lesotho Lesotho (/lɪˈsuːtuː/ ⓘ lih-SOO-too;[6][7] Sotho pronunciation: [lɪˈsʊːtʰʊ]),[a] officially the Kingdom of Lesotho[b], is a landlocked country in Southern Africa. Surrounded by South Africa, it is the largest of the three sovereign enclaves. Lesotho is located in the Maloti Mountains, with the highest peak in southern Africa.[9] It has an area of over 30,000 km2 (11,600 mi2), with a population of about 2.3 million. Its capital and largest city is Maseru. Lesotho was formed in 1824 by King Moshoeshoe I. Continuous"
